Symbol,dividendRate,beta,52WeekChange,shortName,longName,forwardEps,bookValue,priceToBook,shortRatio
PCAR,1.36,1.059018,,PACCAR Inc.,PACCAR Inc,7.03,30.887,2.9795706,3.31
PEAK,1.2,0.672192,,"Healthpeak Properties, Inc.","Healthpeak Properties, Inc.",,,,3.08
PEG,2.04,0.552123,,Public Service Enterprise Group,Public Service Enterprise Group Incorporated,3.5,31.714,1.9871349,3.5
PENN,,2.6845,,"Penn National Gaming, Inc.","Penn National Gaming, Inc.",2.58,16.966,4.5720854,1.53
PEP,4.09,0.615554,,"Pepsico, Inc.","PepsiCo, Inc.",6.57,10.092,14.575902,1.64
PFE,1.56,0.653061,,"Pfizer, Inc.",Pfizer Inc.,3.16,11.359,3.517035,2.26
PFG,2.44,1.646993,,Principal Financial Group Inc,"Principal Financial Group, Inc.",6.85,56.534,1.161425,2.27
PG,3.48,0.430226,,Procter & Gamble Company (The),The Procter & Gamble Company,5.96,18.676,7.3891625,1.56
PGR,0.4,0.467733,,Progressive Corporation (The),The Progressive Corporation,5.97,30.482,3.2524111,2
PH,4.12,1.813568,,Parker-Hannifin Corporation,Parker-Hannifin Corporation,17.07,57.266,5.3403416,1.7
PHM,0.56,1.439051,,"PulteGroup, Inc.","PulteGroup, Inc.",8.64,25.358,2.199306,2.35
PKG,4,0.895752,,Packaging Corporation of Americ,Packaging Corporation of America,8.16,34.487,4.3541045,2.05
PKI,0.28,1.136238,,"PerkinElmer, Inc.","PerkinElmer, Inc.",6.24,33.326,4.3440557,4.63
PLD,2.52,0.730832,,"Prologis, Inc.","Prologis, Inc.",2.11,43.183,2.721673,2.45
PM,4.8,0.838389,,Philip Morris International Inc,Philip Morris International Inc.,6.65,-7.41,,1.68
PNC,4.6,1.386651,,"PNC Financial Services Group, I","The PNC Financial Services Group, Inc.",13.59,126.704,1.5270236,2.97
PNR,0.8,1.148924,,Pentair plc.,Pentair plc,3.24,13.2,5.151515,3.31
PNW,3.32,0.285162,,Pinnacle West Capital Corporati,Pinnacle West Capital Corporation,5.12,49.992,1.7198752,3.5
POOL,2.32,0.728075,,Pool Corporation,Pool Corporation,13.12,16.413,26.15305,2.34
PPG,2.16,1.109211,,"PPG Industries, Inc.","PPG Industries, Inc.",8.81,24.628,7.2458177,3.12
PPL,1.66,0.781025,,PPL Corporation,PPL Corporation,2.62,17.392,1.6961821,1.71
PRGO,0.96,1.220077,,Perrigo Company plc,Perrigo Company plc,2.86,42.488,1.0779514,6.08
PRU,4.6,1.681742,,"Prudential Financial, Inc.","Prudential Financial, Inc.",12.66,170.077,0.62853885,1.94
PSA,8,0.065637,,Public Storage,Public Storage,7.9,27.515,10.057424,2.98
PSX,3.6,1.714285,,Phillips 66,Phillips 66,6.79,41.06,2.0528495,3.12
PTC,,1.251516,,PTC Inc.,PTC Inc.,3.82,14.134,9.252158,2.36
PVH,,2.392719,,PVH Corp.,PVH Corp.,7.88,66.475,1.643475,1.66
PWR,0.24,1.24931,,"Quanta Services, Inc.","Quanta Services, Inc.",4.87,31.411,2.9486487,2.03
PXD,2.24,1.96856,,Pioneer Natural Resources Compa,Pioneer Natural Resources Company,13.85,70.338,2.1427963,2.83
PYPL,,1.15444,,"PayPal Holdings, Inc.","PayPal Holdings, Inc.",5.75,17.081,14.676542,1.98
QCOM,2.72,1.354109,,QUALCOMM Incorporated,QUALCOMM Incorporated,8.57,6.576,19.990877,2.35
QRVO,,1.418643,,"Qorvo, Inc.","Qorvo, Inc.",10.38,39.751,4.4416494,2.85
RCL,,2.900165,,D/B/A Royal Caribbean Cruises L,Royal Caribbean Group,2.16,36.036,2.2982574,2.27
RE,,,,,,,,,
REG,2.38,1.103695,,Regency Centers Corporation,Regency Centers Corporation,1.14,35.368,1.7914499,2.81
REGN,,0.190843,,"Regeneron Pharmaceuticals, Inc.","Regeneron Pharmaceuticals, Inc.",40.57,106.05,4.7781234,2.98
RF,0.62,1.565912,,Regions Financial Corporation,Regions Financial Corporation,1.97,16.864,1.3496205,2
RHI,1.52,1.578599,,Robert Half International Inc.,Robert Half International Inc.,4.54,10.797,8.151339,4.47
RJF,1.56,1.252619,,"Raymond James Financial, Inc.","Raymond James Financial, Inc.",9.36,53.596,2.4908576,1.84
RL,,1.526751,,Ralph Lauren Corporation,Ralph Lauren Corporation,6.7,36.826,3.2881658,2.48
RMD,1.56,0.318257,,ResMed Inc.,ResMed Inc.,5.5,18.618,10.857235,1.77
ROK,4.28,1.38279,,"Rockwell Automation, Inc.","Rockwell Automation, Inc.",9.84,15.655,16.62089,3.39
ROL,0.32,0.490899,,"Rollins, Inc.","Rollins, Inc.",0.68,2.01,17.43781,7.65
ROP,2.25,1.013789,,"Roper Technologies, Inc.","Roper Technologies, Inc.",16.11,102.53,4.2896714,2.89
ROST,1.14,1.025923,,"Ross Stores, Inc.","Ross Stores, Inc.",5.04,9.23,13.353197,1.87
RSG,1.7,0.698841,,"Republic Services, Inc.","Republic Services, Inc.",4.1,26.612,4.114685,1.68
RTX,2.04,1.049089,,Raytheon Technologies Corporati,Raytheon Technologies Corporation,,,,1.97
SBAC,2.32,0.174296,,SBA Communications Corporation,SBA Communications Corporation,3.53,-46.146,,2.78
SBUX,1.8,0.879757,,Starbucks Corporation,Starbucks Corporation,3.6,-6.498,,1.69
SCHW,0.72,1.075013,,Charles Schwab Corporation (The,The Charles Schwab Corporation,3.42,29.543,2.44288,1.94
SEE,0.64,1.265306,,Sealed Air Corporation,Sealed Air Corporation,3.71,1.114,50.475765,3.66
SHW,2.2,1.062327,,Sherwin-Williams Company (The),The Sherwin-Williams Company,10.25,11.583,24.44358,3.35
SIVB,,2.051847,,SVB Financial Group,SVB Financial Group,25.78,163.246,3.4908664,1.49
SJM,3.6,0.318808,,J.M. Smucker Company (The) New,The J. M. Smucker Company,8.62,74.794,1.8117763,10.54
SLB,0.5,2.442912,,Schlumberger N.V.,Schlumberger Limited,1.59,8.97,3.561873,1.89
SNA,4.92,1.303916,,Snap-On Incorporated,Snap-on Incorporated,14.05,71.717,3.4856448,6.09
SNPS,,1.067843,,"Synopsys, Inc.","Synopsys, Inc.",7.17,32.043,7.5523515,1.41
SO,2.64,0.423607,,Southern Company (The),The Southern Company,3.56,26.905,2.3928635,2.89
SPG,5.2,1.546607,,"Simon Property Group, Inc.","Simon Property Group, Inc.",4.57,9.124,13.412977,4.96
SPGI,3.08,0.943739,,S&P Global Inc.,S&P Global Inc.,13.89,4.284,88.11858,9.5
SRE,4.4,0.650854,,Sempra Energy,Sempra Energy,8.53,70.115,1.953505,2.92
STE,1.6,0.521787,,STERIS plc (Ireland),STERIS plc,7,45.314,4.204661,4.42
STT,2.08,1.622724,,State Street Corporation,State Street Corporation,8.02,66.169,1.3034805,1.9
STX,2.68,1.158852,,Seagate Technology PLC,Seagate Technology plc,6.71,2.108,44.554077,4.95
STZ,3.04,1.194704,,"Constellation Brands, Inc.","Constellation Brands, Inc.",11.75,70.316,3.3744807,1.67
SWK,2.8,1.453392,,"Stanley Black & Decker, Inc.","Stanley Black & Decker, Inc.",12.09,61.313,3.4268427,3.43
SWKS,2,1.111417,,"Skyworks Solutions, Inc.","Skyworks Solutions, Inc.",10.84,28.542,5.8405156,1.88
SYF,0.88,1.840044,,Synchrony Financial,Synchrony Financial,5.37,21.863,2.114074,1.37
SYK,2.52,0.954219,,Stryker Corporation,Stryker Corporation,10.32,35.838,7.133489,2.62
SYY,1.8,1.419746,,Sysco Corporation,Sysco Corporation,3.22,2.798,28.774124,2.4
